Loading demo data ...
Data: loaded 89160 cached samples from /home/exouser/.cache/autoresearch_trimnn/data_k2.pkl
Demo — Train: 71328  Val: 17832
Loading TrimNN intestinal data (B004_ascending) ...
  Graph: 21,232 nodes, 63,644 edges
  Patterns: 2,925  (vf2_zero=1539, vf2_nonzero=1386, TrimNN mean=815.5, VF2 mean=14.6)
  Loaded in 0.8s
Parameters: 302,209

step 00078 (8.3%) | loss: 0.6808 | dt: 423ms | remaining: 275s   
step 00079 (8.4%) | loss: 0.6622 | dt: 389ms | remaining: 275s   
step 00080 (8.5%) | loss: 0.6422 | dt: 331ms | remaining: 274s   
step 00081 (8.6%) | loss: 0.6242 | dt: 329ms | remaining: 274s   
step 00082 (8.7%) | loss: 0.6097 | dt: 341ms | remaining: 274s   
step 00083 (8.9%) | loss: 0.5955 | dt: 449ms | remaining: 273s   
step 00084 (9.0%) | loss: 0.5800 | dt: 331ms | remaining: 273s   
step 00085 (9.1%) | loss: 0.5665 | dt: 367ms | remaining: 273s   
step 00086 (9.3%) | loss: 0.5514 | dt: 388ms | remaining: 272s   
step 00087 (9.4%) | loss: 0.5357 | dt: 367ms | remaining: 272s   
step 00088 (9.5%) | loss: 0.5236 | dt: 376ms | remaining: 272s   
step 00089 (9.6%) | loss: 0.5154 | dt: 408ms | remaining: 271s   
step 00090 (9.7%) | loss: 0.5070 | dt: 315ms | remaining: 271s   
step 00091 (9.9%) | loss: 0.4975 | dt: 433ms | remaining: 270s   
step 00092 (10.0%) | loss: 0.4863 | dt: 454ms | remaining: 270s   
step 00093 (10.2%) | loss: 0.4796 | dt: 366ms | remaining: 270s   
step 00094 (10.3%) | loss: 0.4725 | dt: 381ms | remaining: 269s   
step 00095 (10.4%) | loss: 0.4648 | dt: 367ms | remaining: 269s   
step 00096 (10.5%) | loss: 0.4550 | dt: 315ms | remaining: 268s   
step 00097 (10.6%) | loss: 0.4456 | dt: 397ms | remaining: 268s   
step 00098 (10.8%) | loss: 0.4360 | dt: 329ms | remaining: 268s   
step 00099 (10.8%) | loss: 0.4315 | dt: 283ms | remaining: 267s   
step 00100 (11.0%) | loss: 0.4233 | dt: 356ms | remaining: 267s   
step 00101 (11.1%) | loss: 0.4177 | dt: 427ms | remaining: 267s   
step 00102 (11.2%) | loss: 0.4096 | dt: 346ms | remaining: 266s   
step 00103 (11.4%) | loss: 0.4049 | dt: 385ms | remaining: 266s   
step 00104 (11.5%) | loss: 0.4011 | dt: 372ms | remaining: 266s   
step 00105 (11.6%) | loss: 0.3968 | dt: 362ms | remaining: 265s   
step 00106 (11.7%) | loss: 0.3946 | dt: 429ms | remaining: 265s   
step 00107 (11.9%) | loss: 0.3866 | dt: 347ms | remaining: 264s   
step 00108 (12.0%) | loss: 0.3829 | dt: 298ms | remaining: 264s   
step 00109 (12.1%) | loss: 0.3795 | dt: 337ms | remaining: 264s   
step 00110 (12.2%) | loss: 0.3823 | dt: 413ms | remaining: 263s   
step 00111 (12.4%) | loss: 0.3776 | dt: 442ms | remaining: 263s   
step 00112 (12.5%) | loss: 0.3730 | dt: 367ms | remaining: 263s   
step 00113 (12.6%) | loss: 0.3711 | dt: 386ms | remaining: 262s   
step 00114 (12.7%) | loss: 0.3701 | dt: 368ms | remaining: 262s   
step 00115 (12.8%) | loss: 0.3669 | dt: 360ms | remaining: 261s   
step 00116 (13.0%) | loss: 0.3593 | dt: 356ms | remaining: 261s   
step 00117 (13.1%) | loss: 0.3554 | dt: 400ms | remaining: 261s   
step 00118 (13.2%) | loss: 0.3551 | dt: 427ms | remaining: 260s   
step 00119 (13.4%) | loss: 0.3519 | dt: 410ms | remaining: 260s   
step 00120 (13.5%) | loss: 0.3466 | dt: 411ms | remaining: 259s   
step 00121 (13.6%) | loss: 0.3439 | dt: 291ms | remaining: 259s   
step 00122 (13.8%) | loss: 0.3403 | dt: 455ms | remaining: 259s   
step 00123 (13.9%) | loss: 0.3354 | dt: 357ms | remaining: 258s   
step 00124 (14.0%) | loss: 0.3327 | dt: 354ms | remaining: 258s   
step 00125 (14.1%) | loss: 0.3299 | dt: 346ms | remaining: 258s   
step 00126 (14.3%) | loss: 0.3246 | dt: 505ms | remaining: 257s   
step 00127 (14.4%) | loss: 0.3257 | dt: 445ms | remaining: 257s   
step 00128 (14.6%) | loss: 0.3245 | dt: 354ms | remaining: 256s   
step 00129 (14.7%) | loss: 0.3193 | dt: 346ms | remaining: 256s   
step 00130 (14.8%) | loss: 0.3186 | dt: 358ms | remaining: 256s   
step 00131 (14.9%) | loss: 0.3175 | dt: 376ms | remaining: 255s   
step 00132 (15.0%) | loss: 0.3177 | dt: 353ms | remaining: 255s   
step 00133 (15.2%) | loss: 0.3144 | dt: 408ms | remaining: 255s   
step 00134 (15.3%) | loss: 0.3142 | dt: 323ms | remaining: 254s   
step 00135 (15.4%) | loss: 0.3117 | dt: 309ms | remaining: 254s   
step 00136 (15.5%) | loss: 0.3083 | dt: 397ms | remaining: 253s   
step 00137 (15.6%) | loss: 0.3059 | dt: 393ms | remaining: 253s   
step 00138 (15.8%) | loss: 0.3061 | dt: 368ms | remaining: 253s   
step 00139 (15.9%) | loss: 0.3074 | dt: 338ms | remaining: 252s   
step 00140 (16.0%) | loss: 0.3055 | dt: 370ms | remaining: 252s   
step 00141 (16.1%) | loss: 0.3029 | dt: 342ms | remaining: 252s   
step 00142 (16.2%) | loss: 0.3010 | dt: 368ms | remaining: 251s   
step 00143 (16.3%) | loss: 0.3019 | dt: 348ms | remaining: 251s   
step 00144 (16.4%) | loss: 0.2963 | dt: 255ms | remaining: 251s   
step 00145 (16.6%) | loss: 0.2941 | dt: 417ms | remaining: 250s   
step 00146 (16.7%) | loss: 0.2955 | dt: 415ms | remaining: 250s   
step 00147 (16.8%) | loss: 0.2974 | dt: 411ms | remaining: 249s   
step 00148 (17.0%) | loss: 0.2976 | dt: 413ms | remaining: 249s   
step 00149 (17.1%) | loss: 0.2944 | dt: 365ms | remaining: 249s   
step 00150 (17.2%) | loss: 0.2955 | dt: 416ms | remaining: 248s   
step 00151 (17.4%) | loss: 0.2950 | dt: 343ms | remaining: 248s   
step 00152 (17.5%) | loss: 0.2944 | dt: 335ms | remaining: 248s   
step 00153 (17.6%) | loss: 0.2920 | dt: 323ms | remaining: 247s   
step 00154 (17.7%) | loss: 0.2902 | dt: 332ms | remaining: 247s   
step 00155 (17.8%) | loss: 0.2883 | dt: 321ms | remaining: 247s   
step 00156 (17.9%) | loss: 0.2879 | dt: 225ms | remaining: 246s   
step 00157 (18.0%) | loss: 0.2839 | dt: 406ms | remaining: 246s   
step 00158 (18.1%) | loss: 0.2812 | dt: 404ms | remaining: 246s   
step 00159 (18.3%) | loss: 0.2768 | dt: 363ms | remaining: 245s   
step 00160 (18.4%) | loss: 0.2792 | dt: 394ms | remaining: 245s   
step 00161 (18.5%) | loss: 0.2787 | dt: 335ms | remaining: 244s   
step 00162 (18.6%) | loss: 0.2768 | dt: 348ms | remaining: 244s   
step 00163 (18.7%) | loss: 0.2764 | dt: 382ms | remaining: 244s   
step 00164 (18.9%) | loss: 0.2757 | dt: 329ms | remaining: 243s   
step 00165 (19.0%) | loss: 0.2723 | dt: 432ms | remaining: 243s   
step 00166 (19.1%) | loss: 0.2726 | dt: 370ms | remaining: 243s   
step 00167 (19.2%) | loss: 0.2684 | dt: 342ms | remaining: 242s   
step 00168 (19.4%) | loss: 0.2662 | dt: 337ms | remaining: 242s   
step 00169 (19.5%) | loss: 0.2657 | dt: 309ms | remaining: 242s   
step 00170 (19.6%) | loss: 0.2658 | dt: 417ms | remaining: 241s   
step 00171 (19.7%) | loss: 0.2650 | dt: 358ms | remaining: 241s   
step 00172 (19.9%) | loss: 0.2628 | dt: 441ms | remaining: 240s   
step 00173 (20.0%) | loss: 0.2620 | dt: 346ms | remaining: 240s   
step 00174 (20.1%) | loss: 0.2626 | dt: 281ms | remaining: 240s   
step 00175 (20.2%) | loss: 0.2610 | dt: 403ms | remaining: 239s   
step 00176 (20.3%) | loss: 0.2656 | dt: 369ms | remaining: 239s   
step 00177 (20.4%) | loss: 0.2645 | dt: 305ms | remaining: 239s   
step 00178 (20.6%) | loss: 0.2629 | dt: 417ms | remaining: 238s   
step 00179 (20.7%) | loss: 0.2616 | dt: 395ms | remaining: 238s   
step 00180 (20.8%) | loss: 0.2606 | dt: 386ms | remaining: 238s   
step 00181 (20.9%) | loss: 0.2596 | dt: 339ms | remaining: 237s   
step 00182 (21.1%) | loss: 0.2611 | dt: 337ms | remaining: 237s   
step 00183 (21.2%) | loss: 0.2576 | dt: 334ms | remaining: 237s   
step 00184 (21.3%) | loss: 0.2563 | dt: 257ms | remaining: 236s   
step 00185 (21.4%) | loss: 0.2556 | dt: 429ms | remaining: 236s   
step 00186 (21.5%) | loss: 0.2560 | dt: 367ms | remaining: 235s   
step 00187 (21.7%) | loss: 0.2544 | dt: 493ms | remaining: 235s   
step 00188 (21.8%) | loss: 0.2538 | dt: 342ms | remaining: 235s   
step 00189 (21.9%) | loss: 0.2527 | dt: 258ms | remaining: 234s   
step 00190 (22.0%) | loss: 0.2526 | dt: 405ms | remaining: 234s   
step 00191 (22.1%) | loss: 0.2590 | dt: 378ms | remaining: 234s   
step 00192 (22.2%) | loss: 0.2565 | dt: 306ms | remaining: 233s   
step 00193 (22.4%) | loss: 0.2570 | dt: 441ms | remaining: 233s   
step 00194 (22.5%) | loss: 0.2566 | dt: 387ms | remaining: 232s   
step 00195 (22.7%) | loss: 0.2587 | dt: 414ms | remaining: 232s   
step 00196 (22.8%) | loss: 0.2588 | dt: 354ms | remaining: 232s   
step 00197 (22.9%) | loss: 0.2569 | dt: 395ms | remaining: 231s   
step 00198 (23.0%) | loss: 0.2551 | dt: 308ms | remaining: 231s   
step 00199 (23.1%) | loss: 0.2528 | dt: 373ms | remaining: 231s   
step 00200 (23.3%) | loss: 0.2536 | dt: 349ms | remaining: 230s   
step 00201 (23.3%) | loss: 0.2579 | dt: 254ms | remaining: 230s   
step 00202 (23.5%) | loss: 0.2617 | dt: 394ms | remaining: 230s   
step 00203 (23.6%) | loss: 0.2628 | dt: 395ms | remaining: 229s   
step 00204 (23.7%) | loss: 0.2621 | dt: 310ms | remaining: 229s   
step 00205 (23.8%) | loss: 0.2582 | dt: 426ms | remaining: 228s   
step 00206 (24.0%) | loss: 0.2584 | dt: 389ms | remaining: 228s   
step 00207 (24.1%) | loss: 0.2583 | dt: 383ms | remaining: 228s   
step 00208 (24.2%) | loss: 0.2598 | dt: 410ms | remaining: 227s   
step 00209 (24.4%) | loss: 0.2617 | dt: 376ms | remaining: 227s   
step 00210 (24.5%) | loss: 0.2594 | dt: 337ms | remaining: 227s   
step 00211 (24.6%) | loss: 0.2608 | dt: 328ms | remaining: 226s   
step 00212 (24.7%) | loss: 0.2611 | dt: 320ms | remaining: 226s   
step 00213 (24.8%) | loss: 0.2626 | dt: 306ms | remaining: 226s   
step 00214 (24.9%) | loss: 0.2603 | dt: 383ms | remaining: 225s   
step 00215 (25.0%) | loss: 0.2628 | dt: 318ms | remaining: 225s   
step 00216 (25.1%) | loss: 0.2608 | dt: 329ms | remaining: 225s   
step 00217 (25.3%) | loss: 0.2577 | dt: 353ms | remaining: 224s   
step 00218 (25.4%) | loss: 0.2586 | dt: 393ms | remaining: 224s   
step 00219 (25.5%) | loss: 0.2575 | dt: 410ms | remaining: 223s   
step 00220 (25.6%) | loss: 0.2558 | dt: 347ms | remaining: 223s   
step 00221 (25.8%) | loss: 0.2514 | dt: 454ms | remaining: 223s   
step 00222 (25.9%) | loss: 0.2512 | dt: 311ms | remaining: 222s   
step 00223 (26.0%) | loss: 0.2529 | dt: 433ms | remaining: 222s   
step 00224 (26.2%) | loss: 0.2528 | dt: 372ms | remaining: 222s   
step 00225 (26.3%) | loss: 0.2505 | dt: 346ms | remaining: 221s   
step 00226 (26.4%) | loss: 0.2494 | dt: 381ms | remaining: 221s   
step 00227 (26.5%) | loss: 0.2489 | dt: 381ms | remaining: 220s   
step 00228 (26.6%) | loss: 0.2475 | dt: 344ms | remaining: 220s   
step 00229 (26.8%) | loss: 0.2435 | dt: 354ms | remaining: 220s   
step 00230 (26.9%) | loss: 0.2457 | dt: 374ms | remaining: 219s   
step 00231 (27.0%) | loss: 0.2446 | dt: 258ms | remaining: 219s   
step 00232 (27.1%) | loss: 0.2399 | dt: 404ms | remaining: 219s   
step 00233 (27.2%) | loss: 0.2417 | dt: 303ms | remaining: 218s   
step 00234 (27.3%) | loss: 0.2412 | dt: 217ms | remaining: 218s   
step 00235 (27.4%) | loss: 0.2373 | dt: 395ms | remaining: 218s   
step 00236 (27.5%) | loss: 0.2393 | dt: 363ms | remaining: 217s   
step 00237 (27.7%) | loss: 0.2375 | dt: 397ms | remaining: 217s   
step 00238 (27.8%) | loss: 0.2368 | dt: 426ms | remaining: 217s   
step 00239 (27.9%) | loss: 0.2387 | dt: 377ms | remaining: 216s   
step 00240 (28.1%) | loss: 0.2388 | dt: 404ms | remaining: 216s   
step 00241 (28.2%) | loss: 0.2369 | dt: 368ms | remaining: 215s   
step 00242 (28.3%) | loss: 0.2368 | dt: 363ms | remaining: 215s   
step 00243 (28.4%) | loss: 0.2380 | dt: 366ms | remaining: 215s   
step 00244 (28.6%) | loss: 0.2361 | dt: 365ms | remaining: 214s   
step 00245 (28.7%) | loss: 0.2337 | dt: 364ms | remaining: 214s   
step 00246 (28.8%) | loss: 0.2315 | dt: 355ms | remaining: 214s   
step 00247 (28.9%) | loss: 0.2277 | dt: 314ms | remaining: 213s   
step 00248 (29.0%) | loss: 0.2288 | dt: 362ms | remaining: 213s   
step 00249 (29.2%) | loss: 0.2306 | dt: 402ms | remaining: 213s   
step 00250 (29.2%) | loss: 0.2317 | dt: 227ms | remaining: 212s   
step 00251 (29.4%) | loss: 0.2308 | dt: 441ms | remaining: 212s   
step 00252 (29.5%) | loss: 0.2290 | dt: 384ms | remaining: 211s   
step 00253 (29.6%) | loss: 0.2269 | dt: 367ms | remaining: 211s   
step 00254 (29.8%) | loss: 0.2268 | dt: 387ms | remaining: 211s   
step 00255 (29.9%) | loss: 0.2306 | dt: 375ms | remaining: 210s   
step 00256 (30.0%) | loss: 0.2293 | dt: 332ms | remaining: 210s   
step 00257 (30.1%) | loss: 0.2284 | dt: 327ms | remaining: 210s   
step 00258 (30.2%) | loss: 0.2284 | dt: 314ms | remaining: 209s   
step 00259 (30.3%) | loss: 0.2250 | dt: 364ms | remaining: 209s   
step 00260 (30.4%) | loss: 0.2215 | dt: 338ms | remaining: 209s   
step 00261 (30.6%) | loss: 0.2203 | dt: 445ms | remaining: 208s   
step 00262 (30.7%) | loss: 0.2219 | dt: 335ms | remaining: 208s   
step 00263 (30.8%) | loss: 0.2247 | dt: 392ms | remaining: 207s   
step 00264 (31.0%) | loss: 0.2242 | dt: 395ms | remaining: 207s   
step 00265 (31.1%) | loss: 0.2240 | dt: 348ms | remaining: 207s   
step 00266 (31.2%) | loss: 0.2256 | dt: 387ms | remaining: 206s   
step 00267 (31.3%) | loss: 0.2249 | dt: 368ms | remaining: 206s   
step 00268 (31.5%) | loss: 0.2213 | dt: 386ms | remaining: 206s   
step 00269 (31.6%) | loss: 0.2184 | dt: 345ms | remaining: 205s   
step 00270 (31.8%) | loss: 0.2201 | dt: 586ms | remaining: 205s   
step 00271 (31.9%) | loss: 0.2190 | dt: 403ms | remaining: 204s   
step 00272 (32.1%) | loss: 0.2223 | dt: 454ms | remaining: 204s   
step 00273 (32.2%) | loss: 0.2241 | dt: 387ms | remaining: 203s   
step 00274 (32.3%) | loss: 0.2238 | dt: 333ms | remaining: 203s   
step 00275 (32.4%) | loss: 0.2217 | dt: 355ms | remaining: 203s   
step 00276 (32.5%) | loss: 0.2211 | dt: 372ms | remaining: 202s   
