Loading demo data ...
Data: loaded 89160 cached samples from /home/exouser/.cache/autoresearch_trimnn/data_k2.pkl
Demo — Train: 71328  Val: 17832
Loading intestinal data ...
  B004_ascending_ct25: 21,232 nodes, 2925 patterns
  B005_ascending_ct24: 17,312 nodes, 2600 patterns
  B005_descendingSigmoid_ct20: 14,230 nodes, 1540 patterns
  B005_duodenum_ct25: 23,558 nodes, 2925 patterns
  B005_ileum_ct25: 17,670 nodes, 2925 patterns
  B006_descendingSigmoid_ct23: 24,585 nodes, 2300 patterns
  B006_descending_ct24: 20,379 nodes, 2600 patterns
  B008_ascending_ct22: 5,829 nodes, 2024 patterns
  B008_transverse_ct23: 22,279 nodes, 2300 patterns
  B010_ascending_ct25: 22,961 nodes, 2925 patterns
  B010_descendingSigmoid_ct24: 24,158 nodes, 2600 patterns
  B010_descending_ct24: 19,612 nodes, 2600 patterns
  B010_transverse_ct24: 14,924 nodes, 2600 patterns
  B011_ascending_ct24: 20,382 nodes, 2600 patterns
  B011_descendingSigmoid_ct24: 21,201 nodes, 2600 patterns
  B011_descending_ct24: 20,504 nodes, 2600 patterns
Intestinal: 16 samples (310,816 nodes total) in 8.5s
Parameters: 302,209

step 00068 (2.8%) | loss: 6.3088 | dt: 129ms | remaining: 292s   
step 00069 (2.8%) | loss: 6.1530 | dt: 128ms | remaining: 292s   
step 00070 (2.9%) | loss: 5.8559 | dt: 148ms | remaining: 291s   
step 00071 (2.9%) | loss: 6.0978 | dt: 128ms | remaining: 291s   
step 00072 (3.0%) | loss: 6.0999 | dt: 128ms | remaining: 291s   
step 00073 (3.0%) | loss: 5.8527 | dt: 129ms | remaining: 291s   
step 00074 (3.0%) | loss: 5.7844 | dt: 132ms | remaining: 291s   
step 00075 (3.1%) | loss: 5.6259 | dt: 128ms | remaining: 291s   
step 00076 (3.1%) | loss: 5.5362 | dt: 131ms | remaining: 291s   
step 00077 (3.2%) | loss: 5.5280 | dt: 133ms | remaining: 290s   
step 00078 (3.2%) | loss: 5.4335 | dt: 135ms | remaining: 290s   
step 00079 (3.3%) | loss: 5.3152 | dt: 132ms | remaining: 290s   
step 00080 (3.3%) | loss: 5.2264 | dt: 127ms | remaining: 290s   
step 00081 (3.4%) | loss: 5.1267 | dt: 130ms | remaining: 290s   
step 00082 (3.4%) | loss: 5.2497 | dt: 129ms | remaining: 290s   
step 00083 (3.4%) | loss: 5.0716 | dt: 128ms | remaining: 290s   
step 00084 (3.5%) | loss: 4.9073 | dt: 127ms | remaining: 290s   
step 00085 (3.5%) | loss: 5.1173 | dt: 128ms | remaining: 289s   
step 00086 (3.6%) | loss: 5.1262 | dt: 124ms | remaining: 289s   
step 00087 (3.6%) | loss: 4.9465 | dt: 126ms | remaining: 289s   
step 00088 (3.7%) | loss: 4.8568 | dt: 125ms | remaining: 289s   
step 00089 (3.7%) | loss: 4.6850 | dt: 125ms | remaining: 289s   
step 00090 (3.7%) | loss: 4.5639 | dt: 127ms | remaining: 289s   
step 00091 (3.8%) | loss: 4.4932 | dt: 127ms | remaining: 289s   
step 00092 (3.8%) | loss: 4.3580 | dt: 130ms | remaining: 289s   
step 00093 (3.9%) | loss: 4.2289 | dt: 126ms | remaining: 288s   
step 00094 (3.9%) | loss: 4.2570 | dt: 125ms | remaining: 288s   
step 00095 (3.9%) | loss: 4.2056 | dt: 126ms | remaining: 288s   
step 00096 (4.0%) | loss: 4.0814 | dt: 131ms | remaining: 288s   
step 00097 (4.0%) | loss: 4.0433 | dt: 128ms | remaining: 288s   
step 00098 (4.1%) | loss: 3.8869 | dt: 128ms | remaining: 288s   
step 00099 (4.1%) | loss: 3.7780 | dt: 128ms | remaining: 288s   
step 00100 (4.2%) | loss: 3.6617 | dt: 126ms | remaining: 288s   
step 00101 (4.2%) | loss: 3.5443 | dt: 127ms | remaining: 287s   
step 00102 (4.2%) | loss: 3.6322 | dt: 127ms | remaining: 287s   
step 00103 (4.3%) | loss: 3.5874 | dt: 127ms | remaining: 287s   
step 00104 (4.3%) | loss: 3.6607 | dt: 130ms | remaining: 287s   
step 00105 (4.4%) | loss: 3.8265 | dt: 126ms | remaining: 287s   
step 00106 (4.4%) | loss: 3.6927 | dt: 125ms | remaining: 287s   
step 00107 (4.5%) | loss: 3.5897 | dt: 129ms | remaining: 287s   
step 00108 (4.5%) | loss: 3.5207 | dt: 129ms | remaining: 287s   
step 00109 (4.5%) | loss: 3.4199 | dt: 126ms | remaining: 286s   
step 00110 (4.6%) | loss: 3.3588 | dt: 129ms | remaining: 286s   
step 00111 (4.6%) | loss: 3.3042 | dt: 127ms | remaining: 286s   
step 00112 (4.7%) | loss: 3.1999 | dt: 127ms | remaining: 286s   
step 00113 (4.7%) | loss: 3.3668 | dt: 128ms | remaining: 286s   
step 00114 (4.8%) | loss: 3.2604 | dt: 126ms | remaining: 286s   
step 00115 (4.8%) | loss: 3.1842 | dt: 129ms | remaining: 286s   
step 00116 (4.8%) | loss: 3.1033 | dt: 129ms | remaining: 285s   
step 00117 (4.9%) | loss: 3.0405 | dt: 127ms | remaining: 285s   
step 00118 (4.9%) | loss: 3.1091 | dt: 127ms | remaining: 285s   
step 00119 (5.0%) | loss: 3.0225 | dt: 127ms | remaining: 285s   
step 00120 (5.0%) | loss: 3.0737 | dt: 129ms | remaining: 285s   
step 00121 (5.1%) | loss: 3.0613 | dt: 128ms | remaining: 285s   
step 00122 (5.1%) | loss: 3.2178 | dt: 126ms | remaining: 285s   
step 00123 (5.1%) | loss: 3.0989 | dt: 126ms | remaining: 285s   
step 00124 (5.2%) | loss: 3.0036 | dt: 126ms | remaining: 284s   
step 00125 (5.2%) | loss: 3.0231 | dt: 125ms | remaining: 284s   
step 00126 (5.3%) | loss: 2.9658 | dt: 128ms | remaining: 284s   
step 00127 (5.3%) | loss: 2.9831 | dt: 126ms | remaining: 284s   
step 00128 (5.3%) | loss: 2.8895 | dt: 126ms | remaining: 284s   
step 00129 (5.4%) | loss: 2.8270 | dt: 130ms | remaining: 284s   
step 00130 (5.4%) | loss: 2.7230 | dt: 128ms | remaining: 284s   
step 00131 (5.5%) | loss: 2.6749 | dt: 126ms | remaining: 284s   
step 00132 (5.5%) | loss: 2.6219 | dt: 125ms | remaining: 283s   
step 00133 (5.6%) | loss: 2.5210 | dt: 127ms | remaining: 283s   
step 00134 (5.6%) | loss: 2.5931 | dt: 124ms | remaining: 283s   
step 00135 (5.6%) | loss: 2.4817 | dt: 125ms | remaining: 283s   
step 00136 (5.7%) | loss: 2.4432 | dt: 124ms | remaining: 283s   
step 00137 (5.7%) | loss: 2.5517 | dt: 125ms | remaining: 283s   
step 00138 (5.8%) | loss: 2.4798 | dt: 126ms | remaining: 283s   
step 00139 (5.8%) | loss: 2.4999 | dt: 128ms | remaining: 283s   
step 00140 (5.9%) | loss: 2.4565 | dt: 128ms | remaining: 282s   
step 00141 (5.9%) | loss: 2.6070 | dt: 129ms | remaining: 282s   
step 00142 (5.9%) | loss: 2.5772 | dt: 131ms | remaining: 282s   
step 00143 (6.0%) | loss: 2.5096 | dt: 129ms | remaining: 282s   
step 00144 (6.0%) | loss: 2.5034 | dt: 128ms | remaining: 282s   
step 00145 (6.1%) | loss: 2.4531 | dt: 127ms | remaining: 282s   
step 00146 (6.1%) | loss: 2.7238 | dt: 126ms | remaining: 282s   
step 00147 (6.1%) | loss: 2.6461 | dt: 128ms | remaining: 282s   
step 00148 (6.2%) | loss: 2.6912 | dt: 127ms | remaining: 281s   
step 00149 (6.2%) | loss: 2.6835 | dt: 128ms | remaining: 281s   
step 00150 (6.3%) | loss: 2.5879 | dt: 129ms | remaining: 281s   
step 00151 (6.3%) | loss: 2.5208 | dt: 127ms | remaining: 281s   
step 00152 (6.4%) | loss: 2.4650 | dt: 126ms | remaining: 281s   
step 00153 (6.4%) | loss: 2.4162 | dt: 125ms | remaining: 281s   
step 00154 (6.4%) | loss: 2.3417 | dt: 126ms | remaining: 281s   
step 00155 (6.5%) | loss: 2.3012 | dt: 127ms | remaining: 281s   
step 00156 (6.5%) | loss: 2.2987 | dt: 127ms | remaining: 280s   
step 00157 (6.6%) | loss: 2.2392 | dt: 129ms | remaining: 280s   
